Frame Rate:,30.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,19.872716049382714,19.98638888888889,25.517654320987653,14.114104938271606
2,00:00:00.067,19.253024691358025,19.452438271604937,24.42219135802469,13.884444444444444
3,00:00:00.100,19.10116255144033,19.1520987654321,24.226234567901233,13.925154320987655
4,00:00:00.133,19.34908436213992,19.92070987654321,24.16212962962963,13.964413580246914
5,00:00:00.167,18.603652263374485,18.660216049382715,23.591882716049383,13.558858024691357
6,00:00:00.200,18.923878600823045,19.817222222222224,23.515864197530863,13.43854938271605
7,00:00:00.233,18.67659465020576,19.288672839506173,23.10641975308642,13.634691358024691
8,00:00:00.267,19.5698353909465,21.137808641975308,23.072438271604938,14.49925925925926
9,00:00:00.300,19.1134670781893,20.571975308641974,22.587345679012344,14.18108024691358
10,00:00:00.333,18.86272633744856,20.352932098765432,22.315462962962965,13.919783950617283
11,00:00:00.367,18.6329012345679,20.017191358024693,22.0425,13.839012345679013
12,00:00:00.400,18.11497942386831,19.327716049382715,21.44006172839506,13.57716049382716
13,00:00:00.433,18.365421810699587,20.302592592592593,21.125432098765433,13.66824074074074
14,00:00:00.467,17.98525720164609,19.624598765432097,20.575277777777778,13.755895061728395
15,00:00:00.500,17.909413580246916,19.66151234567901,20.17706790123457,13.88966049382716
16,00:00:00.533,17.465524691358024,19.07216049382716,19.61172839506173,13.712685185185185
17,00:00:00.567,16.824022633744857,18.354567901234567,18.669382716049384,13.448117283950618
18,00:00:00.600,17.085493827160494,19.15422839506173,18.246358024691357,13.855895061728395
19,00:00:00.633,16.022849794238684,18.29533950617284,16.794814814814814,12.978395061728396
20,00:00:00.667,16.371213991769547,18.42429012345679,17.054567901234567,13.634783950617283
21,00:00:00.700,16.646316872427985,18.72135802469136,17.408487654320986,13.809104938271606
22,00:00:00.733,16.641841563786006,18.22925925925926,17.706234567901234,13.99003086419753
23,00:00:00.767,16.488055555555558,17.583703703703705,17.639104938271604,14.241358024691358
24,00:00:00.800,15.343991769547324,15.956543209876543,16.532283950617284,13.543148148148148
25,00:00:00.833,15.415884773662553,15.938672839506173,16.239691358024693,14.06929012345679
26,00:00:00.867,14.292901234567902,14.77354938271605,15.078364197530863,13.02679012345679
27,00:00:00.900,14.568755144032922,14.817654320987653,15.426358024691359,13.462253086419754
28,00:00:00.933,14.52869341563786,13.965833333333334,15.713487654320987,13.906759259259259
29,00:00:00.967,14.97619341563786,14.24101851851852,16.202253086419752,14.485308641975308
30,00:00:01.000,14.593909465020575,13.203734567901234,16.158456790123456,14.419537037037037
31,00:00:01.033,14.82275720164609,13.470462962962962,16.3925,14.60530864197531
32,00:00:01.067,14.32224279835391,12.21429012345679,16.255061728395063,14.497376543209876
33,00:00:01.100,14.157510288065842,11.474598765432098,16.22608024691358,14.771851851851851
34,00:00:01.133,13.722489711934157,10.509444444444444,15.975432098765433,14.682592592592593
35,00:00:01.167,13.436018518518518,10.300154320987655,15.554537037037036,14.453364197530863
36,00:00:01.200,13.161553497942387,9.711697530864198,15.482191358024691,14.290771604938271
37,00:00:01.233,13.340606995884771,9.788395061728394,15.866944444444444,14.36648148148148
38,00:00:01.267,13.05719135802469,9.152314814814815,15.867808641975309,14.15145061728395
39,00:00:01.300,13.801646090534978,10.257592592592593,16.0154012345679,15.131944444444445
40,00:00:01.333,13.270298353909466,9.748148148148148,15.903086419753086,14.159660493827161
41,00:00:01.367,13.360709876543211,10.506234567901235,15.766913580246914,13.808981481481482
42,00:00:01.400,13.43232510288066,10.334506172839506,15.988950617283951,13.97351851851852
43,00:00:01.433,14.10003086419753,11.133858024691358,16.822345679012347,14.34388888888889
44,00:00:01.467,13.519526748971193,10.447777777777778,16.46638888888889,13.644413580246914
45,00:00:01.500,13.171728395061729,10.48641975308642,15.644475308641976,13.38429012345679
46,00:00:01.533,12.852541152263376,10.113981481481481,15.006913580246914,13.436728395061728
47,00:00:01.567,13.464413580246912,12.270802469135802,14.656450617283951,13.465987654320987
48,00:00:01.600,12.902654320987653,11.629166666666666,14.479259259259258,12.599537037037036
49,00:00:01.633,13.500668724279834,11.712345679012346,15.03216049382716,13.7575
50,00:00:01.667,13.470154320987655,12.031574074074074,14.947067901234568,13.431820987654321
51,00:00:01.700,14.137572016460906,12.829197530864198,15.403395061728395,14.180123456790124
52,00:00:01.733,13.35533950617284,12.237993827160494,14.517376543209876,13.310648148148148
53,00:00:01.767,13.035473251028806,12.184444444444445,13.970185185185185,12.95179012345679
54,00:00:01.800,12.785421810699589,11.729660493827161,13.659351851851852,12.967253086419753
55,00:00:01.833,13.779413580246915,13.231481481481481,14.871141975308642,13.235617283950617
56,00:00:01.867,13.225720164609053,12.011697530864197,14.159722222222221,13.505740740740741
57,00:00:01.900,12.217808641975308,10.980277777777777,13.194783950617284,12.478364197530864
58,00:00:01.933,11.741707818930044,10.59388888888889,12.76067901234568,11.870555555555555
59,00:00:01.967,11.998827160493827,11.725339506172839,12.269475308641976,12.001666666666667
60,00:00:02.000,10.873374485596708,10.36179012345679,11.411604938271605,10.846728395061728
61,00:00:02.033,10.231090534979424,9.499444444444444,10.715925925925927,10.477901234567902
62,00:00:02.067,10.44429012345679,9.390092592592593,10.913055555555555,11.029722222222222
63,00:00:02.100,9.529094650205762,8.74820987654321,9.618425925925926,10.220648148148149
64,00:00:02.133,9.072623456790124,7.3419135802469135,9.400277777777777,10.47567901234568
65,00:00:02.167,8.41477366255144,6.860493827160494,8.415524691358025,9.968302469135802
66,00:00:02.200,8.91827160493827,7.352777777777778,8.526203703703704,10.875833333333333
67,00:00:02.233,9.461450617283951,8.739382716049382,8.477962962962962,11.167006172839507
68,00:00:02.267,9.43869341563786,8.156635802469136,8.722654320987655,11.43679012345679
69,00:00:02.300,10.442993827160494,9.280987654320988,9.600092592592592,12.447901234567901
70,00:00:02.333,10.929238683127572,9.763765432098765,9.391450617283951,13.6325
71,00:00:02.367,12.704855967078188,11.977006172839506,10.490308641975309,15.647253086419752
72,00:00:02.400,12.595144032921809,11.247191358024692,10.953518518518518,15.584722222222222
73,00:00:02.433,13.880936213991768,12.653024691358025,12.028302469135802,16.96148148148148
74,00:00:02.467,14.127129629629628,12.032561728395061,12.498981481481481,17.849845679012347
75,00:00:02.500,15.20366255144033,13.673302469135802,13.148333333333333,18.78935185185185
76,00:00:02.533,14.781460905349794,12.40716049382716,12.933302469135802,19.00391975308642
77,00:00:02.567,15.130020576131686,13.69141975308642,12.54358024691358,19.15506172839506
